,confirmed,contig,event_id,event_jid,gene,test_total_out,PSI_higher,PSI_lower,strand,test_high_counts,test_low_counts,test_median_score,test_mean_score,test_abs_max_score,event_type
6414,0,chr4,mutex_exons_6415,chr4s+:g.27017984j27021001_27021068j27022519>27017984j27021494_27021612j27022519[splMUT],ENSG00000109689,1.0,test,Ref,+,1,0,0.0,2.4081752734903885,11.668398758789301,mutex_exons
7294,1,chr6,mutex_exons_7295,chr6s-:g.130870381j130880454_130880489j130885096>130870381j130872371_130872538j130885096[splMUT],ENSG00000079819,1.0,Ref,test,-,0,1,-1.20268260786443,-2.795313707229998,11.5969202719963,mutex_exons
4720,3,chr2,mutex_exons_4721,chr2s+:g.109995714j109995915_109995954j109996035>109995714j109995755_109995914j109996035[splMUT],ENSG00000204588,1.0,test,Ref,+,1,0,1.00305273708433,2.0723060900033903,11.3597730507542,mutex_exons
188,0,chr1,mutex_exons_189,chr1s+:g.108696351j108697810_108697859j108698604>108696351j108696740_108696852j108698604[splMUT],ENSG00000134186,1.0,Ref,test,+,0,1,0.0,-0.8691435024914692,11.2988655323891,mutex_exons
189,0,chr1,mutex_exons_190,chr1s+:g.108696351j108697810_108697861j108698604>108696351j108696740_108696852j108698604[splMUT],ENSG00000134186,1.0,Ref,test,+,0,1,0.0,-0.8691435024914692,11.2988655323891,mutex_exons
8275,5,chrX,mutex_exons_8276,chrXs+:g.47194024j47198309_47198355j47198803>47194024j47196950_47197024j47198803[splMUT],ENSG00000130985,1.0,test,Ref,+,1,0,1.4050552423051,2.551724534222948,11.2729734910846,mutex_exons
7286,1,chr6,mutex_exons_7287,chr6s-:g.130863718j130870039_130870126j130885096>130863718j130867459_130867581j130885096[splMUT],ENSG00000079819,1.0,Ref,test,-,0,1,-0.8040952839726091,-2.95481815207152,11.2597218499721,mutex_exons
3509,0,chr16,mutex_exons_3510,chr16s-:g.14586361j14588098_14588172j14593301>14586361j14591913_14592033j14593301[splMUT],ENSG00000140694,1.0,test,Ref,-,1,0,0.0,1.4839179194997703,11.243219692207902,mutex_exons
172,0,chr1,mutex_exons_173,chr1s+:g.99916731j99920425_99920507j99921534>99916731j99919078_99919222j99921534[splMUT],ENSG00000162688,1.0,Ref,test,+,0,1,0.0,-1.5158286583130207,11.220070033744399,mutex_exons
6353,0,chr3,mutex_exons_6354,chr3s-:g.150567106j150585394_150585492j150602944>150567106j150583117_150583250j150602944[splMUT],ENSG00000120742,1.0,test,Ref,-,1,0,0.0,2.121304501184,11.157849101851099,mutex_exons
550,2,chr1,mutex_exons_551,chr1s-:g.3739407j3739624_3739799j3740160>3739407j3739836_3740087j3740160[splMUT],ENSG00000227372,1.0,test,Ref,-,1,0,0.0,1.5513556730483309,10.7884808875504,mutex_exons
548,3,chr1,mutex_exons_549,chr1s-:g.3739407j3739836_3739907j3740160>3739407j3739624_3739799j3740160[splMUT],ENSG00000227372,1.0,Ref,test,-,0,1,0.0,-1.4352330809049147,10.705882059186699,mutex_exons
2173,5,chr12,mutex_exons_2174,chr12s+:g.95296258j95298862_95298943j95300165>95296258j95299094_95299419j95300165[splMUT],ENSG00000028203,1.0,Ref,test,+,0,1,-1.08497178114096,-2.7135236172375623,10.6202494923998,mutex_exons
4461,1,chr19,mutex_exons_4462,chr19s-:g.49663514j49664674_49664901j49665631>49663514j49664443_49664673j49665631[splMUT],ENSG00000126456,1.0,Ref,test,-,0,1,-0.8763547367449019,-2.1640149517898757,10.614901227456599,mutex_exons
8128,3,chr9,mutex_exons_8129,chr9s-:g.14680162j14688247_14688307j14690337>14680162j14683571_14683729j14690337[splMUT],ENSG00000175893,1.0,test,Ref,-,1,0,0.0,2.154035648324834,10.5671555732339,mutex_exons
6318,0,chr3,mutex_exons_6319,chr3s-:g.120730787j120739006_120739069j120742462>120730787j120738527_120738667j120742462[splMUT],ENSG00000144840,1.0,test,Ref,-,1,0,0.0,0.8043919114921076,10.4570948493974,mutex_exons
5640,0,chr21,mutex_exons_5641,chr21s+:g.39898527j39916070_39916186j39928984>39898527j39926047_39926191j39928984[splMUT],ENSG00000183036,1.0,Ref,test,+,0,1,0.0,-1.1146784179874598,10.442327279362098,mutex_exons
1208,0,chr10,mutex_exons_1209,chr10s-:g.95410777j95414494_95414655j95421961>95410777j95415469_95416149j95421961[splMUT],ENSG00000095637,1.0,Ref,test,-,0,1,0.0,-1.1899285201588858,10.4121612694805,mutex_exons
1317,0,chr11,mutex_exons_1318,chr11s+:g.4023987j4047914_4047961j4055526>4023987j4049514_4049608j4055526[splMUT],ENSG00000167323,1.0,test,Ref,+,1,0,0.0,0.797536615468746,10.367976001093698,mutex_exons
3169,0,chr15,mutex_exons_3170,chr15s+:g.74995673j75009891_75009940j75011792>74995673j74997234_74997316j75011792[splMUT],ENSG00000198794,1.0,Ref,test,+,0,1,0.0,-1.2652086902377324,10.362744126103099,mutex_exons
1007,0,chr10,mutex_exons_1008,chr10s+:g.29415412j29478474_29478524j29482833>29415412j29458274_29458520j29482833[splMUT],ENSG00000224597,1.0,test,Ref,+,1,0,0.0,1.4318442941930163,10.3429727355272,mutex_exons
3756,0,chr17,mutex_exons_3757,chr17s+:g.36074848j36075283_36075375j36089546>36074848j36076710_36076802j36089546[splMUT],ENSG00000277089,1.0,test,Ref,+,1,0,0.0,1.10480293774025,10.3370864998881,mutex_exons
1026,0,chr10,mutex_exons_1027,chr10s+:g.45988847j46000062_46000181j46003203>45988847j46002361_46002484j46003203[splMUT],ENSG00000265354,1.0,Ref,test,+,0,1,0.0,-2.3449312704690004,10.329011635690401,mutex_exons
6412,2,chr4,mutex_exons_6413,chr4s+:g.20713539j20724808_20724888j20727285>20713539j20716107_20716248j20727285[splMUT],ENSG00000163138,1.0,Ref,test,+,0,1,-1.84665153251504,-2.6295735694229134,10.309223828403901,mutex_exons
71,7,chr1,mutex_exons_72,chr1s+:g.29065158j29068733_29068783j29097807>29065158j29096155_29096565j29097807[splMUT],ENSG00000159023,1.0,test,Ref,+,1,0,1.95293315350738,3.3460675570308642,10.2280153434344,mutex_exons
5760,0,chr22,mutex_exons_5761,chr22s-:g.17823060j17826451_17826516j17831854>17823060j17827644_17827781j17831854[splMUT],ENSG00000243156,1.0,Ref,test,-,0,1,-0.36555004539599606,-2.733548966716569,10.195963685086198,mutex_exons
2435,0,chr12,mutex_exons_2436,chr12s-:g.124911822j124912051_124912055j124913419>124911822j124912637_124912734j124913419[splMUT],ENSG00000150991,1.0,Ref,test,-,0,1,-1.3842534138688098,-2.008194713134685,10.1355327349092,mutex_exons
7151,7,chr6,mutex_exons_7152,chr6s+:g.147334222j147339179_147339238j147353323>147334222j147351833_147351895j147353323[splMUT],ENSG00000164506,1.0,Ref,test,+,0,1,-0.897724911633188,-2.9889343098114334,10.117553590134099,mutex_exons
6499,0,chr4,mutex_exons_6500,chr4s+:g.150249684j150254426_150254438j150256020>150249684j150253474_150253556j150256020[splMUT],ENSG00000170390,1.0,test,Ref,+,1,0,0.0,1.9194582467655343,10.0315942704817,mutex_exons
